cups-bsd	2.4.7-1.2ubuntu7.9	amd64
cups-client	2.4.7-1.2ubuntu7.9	amd64
cups-common	2.4.7-1.2ubuntu7.9	all
cups-core-drivers	2.4.7-1.2ubuntu7.9	amd64
cups-daemon	2.4.7-1.2ubuntu7.9	amd64
cups-filters	2.0.0-0ubuntu4.1	amd64
cups-filters-core-drivers	2.0.0-0ubuntu4.1	amd64
cups-ipp-utils	2.4.7-1.2ubuntu7.9	amd64
cups-pk-helper	0.2.6-1ubuntu8	amd64
cups-ppdc	2.4.7-1.2ubuntu7.9	amd64
cups-server-common	2.4.7-1.2ubuntu7.9	all
dash	0.5.12-6ubuntu5	amd64
dbus	1.14.10-4ubuntu4.1	amd64
dbus-bin	1.14.10-4ubuntu4.1	amd64
dbus-daemon	1.14.10-4ubuntu4.1	amd64
dbus-session-bus-common	1.14.10-4ubuntu4.1	all
dbus-system-bus-common	1.14.10-4ubuntu4.1	all
dbus-user-session	1.14.10-4ubuntu4.1	amd64
dc	1.07.1-3ubuntu4	amd64
dconf-cli	0.40.0-4ubuntu0.1	amd64
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1	amd64
dconf-service	0.40.0-4ubuntu0.1	amd64
debconf	1.5.86ubuntu1	all
debconf-i18n	1.5.86ubuntu1	all
debianutils	5.17build1	amd64
default-jre	2:1.21-75+exp1	amd64
default-jre-headless	2:1.21-75+exp1	amd64
desktop-file-utils	0.27-2build1	amd64
dhcpcd-base	1:10.0.6-1ubuntu3.2	amd64
dictionaries-common	1.29.7	all
diffutils	1:3.10-1build1	amd64
dirmngr	2.4.4-2ubuntu17.4	amd64
distro-info	1.7build1	amd64
distro-info-data	0.60ubuntu0.6	all
dkms	1:3.4.0-2ubuntu1	all
dmidecode	3.5-3ubuntu0.1	amd64
dmsetup	2:1.02.185-3ubuntu3.2	amd64
dmz-cursor-theme	0.4.5ubuntu1	all
dns-root-data	2024071801~ubuntu0.24.04.1	all
dnsmasq-base	2.90-2ubuntu0.3	amd64
docbook-xml	4.5-12	all
dosfstools	4.2-1.1build1	amd64
dpkg	1.22.6ubuntu6.6	amd64
dpkg-dev	1.22.6ubuntu6.6	all
dracut-install	060+5-1ubuntu3.3	amd64
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1	all
eatmydata	131-1ubuntu1	all
ed	1.20.1-1	amd64
efibootmgr	18-1build2	amd64
eject	2.39.3-9ubuntu6.5	amd64
emacsen-common	3.0.5	all
enchant-2	2.3.3-2build2	amd64
eog	45.3-1ubuntu2	amd64
eslint	6.4.0~dfsg+~6.1.9-11build3	all
espeak-ng-data:amd64	1.51+dfsg-12build1	amd64
ethtool	1:6.7-1build1	amd64
evince	46.3.1-0ubuntu1.1	amd64
evince-common	46.3.1-0ubuntu1.1	all
evolution-data-server	3.52.3-0ubuntu1.2	amd64
evolution-data-server-common	3.52.3-0ubuntu1.2	all
fakeroot	1.33-1	amd64
fcitx5	5.1.7-1build3	amd64
fcitx5-config-qt	5.1.4-1	amd64
fcitx5-data	5.1.7-1build3	all
fcitx5-frontend-all	5.1.7-1build3	all
fcitx5-frontend-gtk3	5.1.1-1build2	amd64
fcitx5-frontend-gtk4	5.1.1-1build2	amd64
fcitx5-frontend-qt5	5.1.4-1build5	amd64
fcitx5-frontend-qt6	5.1.4-1build5	amd64
fcitx5-modules:amd64	5.1.7-1build3	amd64
fcitx5-rime:amd64	5.1.4-2build2	amd64
fdisk	2.39.3-9ubuntu6.5	amd64
ffmpeg	7:6.1.1-3ubuntu5	amd64
file	1:5.45-3build1	amd64
findutils	4.9.0-5build1	amd64
firefox	1:1snap1-0ubuntu5	amd64
firmware-sof-signed	2023.12.1-1ubuntu1.10	all
flatpak	1.14.6-1ubuntu0.1	amd64
fontconfig	2.15.0-1.1ubuntu2	amd64
fontconfig-config	2.15.0-1.1ubuntu2	amd64
fonts-dejavu-core	2.37-8	all
fonts-dejavu-extra	2.37-8	all
fonts-dejavu-mono	2.37-8	all
fonts-droid-fallback	1:6.0.1r16-1.1build1	all
fonts-freefont-ttf	20211204+svn4273-2	all
fonts-liberation	1:2.1.5-3	all
fonts-liberation-sans-narrow	1:1.07.6-4	all
fonts-noto-cjk	1:20230817+repack1-3	all
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1	all
fonts-noto-core	20201225-2	all
fonts-noto-mono	20201225-2	all
fonts-ubuntu	0.869+git20240321-0ubuntu1	all
fonts-urw-base35	20200910-8	all
foomatic-db-compressed-ppds	20230202-1	all
fprintd	1.94.3-1	amd64
friendly-recovery	0.2.42	all
ftp	20230507-2build3	all
fuse3	3.14.0-5build1	amd64
fwupd	1.9.33-0ubuntu1~24.04.1ubuntu1	amd64
fwupd-signed	1.52+1.4-1	amd64
g++	4:13.2.0-7ubuntu1	amd64
g++-13	13.3.0-6ubuntu2~24.04.1	amd64
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
